Map.CustomClientGroup,ClientGroupID,Dim.ClientGroup
Map.CustomClientGroup,SourceSystemClientID,dbo.PersonFact
Dim.AgeMonth,AgeID,Dim.Age
Dim.DischargeDispositionLookupCOM,DischargeDispositionID,Dim.DischargeDisposition
Dim.EducationLevelLookup,EducationLevelID,Dim.EducationLevel
Dim.Facility,HSDAID,Dim.HSDA
Dim.Intervention,InterventionTypeID,Dim.InterventionType
Dim.LHA,HSDAID,Dim.HSDA
Dim.LocalReportingOffice,CommunityProgramID,Dim.CommunityProgram
Dim.LocalReportingOffice,ProviderID,Dim.Provider
Dim.Provider,FacilityID,Dim.Facility
Dim.Provider,LevelOfCareId,Dim.LevelOfCare
Dim.ReasonEndingServiceLookup,ReasonEndingServiceID,Dim.ReasonEndingService
Dim.ReferralSourceLookup,ReferralSourceID,Dim.ReferralSource
dbo.AddressFact,AddressTypeID,Dim.AddressType
dbo.AddressFact,HouseTypeID,Dim.HouseType
dbo.AddressFact,PostalCodeID,Dim.PostalCode
dbo.AddressFact,SourceSystemClientID,dbo.PersonFact
dbo.AssessmentContactFact,CommunityServiceLocationID,Dim.CommunityServiceLocation
dbo.AssessmentContactFact,ContactTypeID,Dim.ContactType
dbo.AssessmentContactFact,SourceAssessmentID,dbo.AssessmentHeaderFact
dbo.AssessmentHeaderFact,AssessmentReasonID,Dim.AssessmentReason
dbo.AssessmentHeaderFact,AssessmentTypeID,Dim.AssessmentType
dbo.AssessmentHeaderFact,SourceReferralID,dbo.ReferralFact
dbo.CaseNoteContactFact,ContactTypeID,Dim.ContactType
dbo.CaseNoteContactFact,SourceCaseNoteHeaderID,dbo.CaseNoteHeaderFact
dbo.CaseNoteHeaderFact,CaseNoteReasonID,Dim.CaseNoteReason
dbo.CaseNoteHeaderFact,CaseNoteTypeID,Dim.CaseNoteType
dbo.CaseNoteHeaderFact,LocalReportingOfficeID,Dim.LocalReportingOffice
dbo.CaseNoteHeaderFact,SourceReferralID,dbo.ReferralFact
dbo.CaseNoteHeaderFact,SourceSystemClientID,dbo.PersonFact
dbo.CDLabReportFact,SourceAssessmentID,dbo.AssessmentHeaderFact
dbo.CDLabReportFact,SourceAssessmentID,dbo.CDPreviousTestResultFact
dbo.CDPreviousTestResultFact,CommunityDiseaseID,Dim.CommunityDisease
dbo.CDPublicHealthMeasureFact,SourceAssessmentID,dbo.AssessmentHeaderFact
dbo.CDPublicHealthMeasureFact,SourceAssessmentID,dbo.CDPreviousTestResultFact
dbo.ClientGPFact,SourceSystemClientID,dbo.PersonFact
dbo.CubeSource,AssessmentTypeID,Dim.AssessmentType
dbo.CubeSource,DischargeDispositionID,Dim.DischargeDisposition
dbo.CubeSource,ReasonEndingServiceID,Dim.ReasonEndingService
dbo.CubeSource,ReferralPriorityID,Dim.ReferralPriority
dbo.CubeSource,ReferralSourceID,Dim.ReferralSource
dbo.CubeSource,ReferralSourceLookupID,Dim.ReferralSourceLookup
dbo.CubeSource,SourceAssessmentID,dbo.AssessmentHeaderFact
dbo.CubeSource,SourceCaseNoteHeaderID,dbo.CaseNoteHeaderFact
dbo.CurrentLocationFact,LHAID,Dim.LHA
dbo.CurrentLocationFact,LocalReportingOfficeID,Dim.LocalReportingOffice
dbo.CurrentLocationFact,LocationTypeID,Dim.LocationType
dbo.CurrentLocationFact,PostalCodeID,Dim.PostalCode
dbo.CurrentLocationFact,ProviderID,Dim.Provider
dbo.CurrentLocationFact,ProvinceID,Dim.Province
dbo.CurrentLocationFact,SourceSystemClientID,dbo.PersonFact
dbo.HCRSAssessmentFact,LocalReportingOfficeID,Dim.LocalReportingOffice
dbo.HCRSAssessmentFact,ReferralReasonID,Dim.ReferralReason
dbo.HCRSAssessmentFact,SourceReferralID,dbo.ReferralFact
dbo.HCRSAssessmentFact,SourceSystemClientID,dbo.PersonFact
dbo.HCRSRAIHighRiskSummary,GenderID,Dim.Gender
dbo.HomeSupportActivityFact,InterventionID,Dim.Intervention
dbo.HomeSupportActivityFact,InterventionTypeID,Dim.InterventionType
dbo.HomeSupportActivityFact,LocalReportingOfficeID,Dim.LocalReportingOffice
dbo.HomeSupportActivityFact,ProviderID,Dim.Provider
dbo.HomeSupportActivityFact,SourceInterventionID,dbo.InterventionFact
dbo.HomeSupportActivityFact,SourceReferralID,dbo.ReferralFact
dbo.HomeSupportActivityFact,SourceSystemClientID,dbo.PersonFact
dbo.HoNOSFact,SourceAssessmentID,dbo.AssessmentHeaderFact
dbo.ImmAdverseEventFact,SourceSystemClientID,dbo.PersonFact
dbo.ImmunizationAlertFact,AntigenID,Dim.Antigen
dbo.ImmunizationAlertFact,ImmAlertID,Dim.ImmAlert
dbo.ImmunizationAlertFact,ImmCategoryID,Dim.ImmCategory
dbo.ImmunizationAlertFact,SourceSystemClientID,dbo.PersonFact
dbo.ImmunizationHistoryFact,AntigenID,Dim.Antigen
dbo.ImmunizationHistoryFact,CommunityServiceLocationID,Dim.CommunityServiceLocation
dbo.ImmunizationHistoryFact,LocalReportingOfficeID,Dim.LocalReportingOffice
dbo.ImmunizationHistoryFact,SourceSystemClientID,dbo.PersonFact
dbo.InterventionFact,InterventionID,Dim.Intervention
dbo.InterventionFact,ProviderID,Dim.Provider
dbo.InterventionFact,SourceReferralID,dbo.ReferralFact
dbo.InvolvedProfessionFact,ServiceProviderCategoryCodeID,Dim.ServiceProviderCategoryLookup
dbo.InvolvedProfessionFact,SourceReferralID,dbo.ReferralFact
dbo.PersonFact,DeathLocationID,Dim.DeathLocation
dbo.PersonFact,EducationLevelCodeID,Dim.EducationLevelLookup
dbo.PersonFact,EthnicityID,Dim.Ethnicity
dbo.PersonFact,GenderID,Dim.Gender
dbo.ReferralFact,DischargeDispositionCodeID,Dim.DischargeDispositionLookupCOM
dbo.ReferralFact,DischargeOutcomeID,Dim.DischargeOutcome
dbo.ReferralFact,LocalReportingOfficeID,Dim.LocalReportingOffice
dbo.ReferralFact,ReasonEndingServiceCodeID,Dim.ReasonEndingServiceLookup
dbo.ReferralFact,ReferralPriorityID,Dim.ReferralPriority
dbo.ReferralFact,ReferralReasonID,Dim.ReferralReason
dbo.ReferralFact,ReferralSourceLookupID,Dim.ReferralSourceLookup
dbo.ReferralFact,ReferralTypeID,Dim.ReferralType
dbo.ReferralFact,SourceSystemClientID,dbo.PersonFact
dbo.SchoolHistoryFact,CommunityServiceLocationID,Dim.CommunityServiceLocation
